osculum_ID,tracking_num,t,x,y,r,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_S23_O1,1,4.00E-01,-4.63E-01,1.62E-01,4.91E-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_S23_O1,1,4.09E-01,-4.16E-01,2.21E-01,4.71E-01,8.55E+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_S23_O1,1,4.17E-01,-4.06E-01,2.93E-01,5.01E-01,1.19E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_S23_O1,1,4.25E-01,-3.48E-01,4.06E-01,5.35E-01,1.47E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_S23_O1,1,4.34E-01,-3.07E-01,5.18E-01,6.02E-01,1.42E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_S23_O1,1,4.42E-01,-2.66E-01,6.29E-01,6.83E-01,1.11E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_S23_O1,1,4.50E-01,-2.74E-01,6.99E-01,7.51E-01,1.48E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_S23_O1,1,4.59E-01,-2.03E-01,8.67E-01,8.91E-01,1.76E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_S23_O1,1,4.67E-01,-1.80E-01,9.77E-01,9.93E-01,1.29E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_S23_O1,1,4.75E-01,-1.91E-01,1.08E+00,1.10E+00,1.17E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_S23_O1,1,4.84E-01,-2.01E-01,1.17E+00,1.19E+00,1.14E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_S23_O1,1,4.92E-01,-1.41E-01,1.27E+00,1.27E+00,1.15E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_S23_O1,1,5.01E-01,-1.13E-01,1.34E+00,1.34E+00,1.01E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_S23_O1,1,5.09E-01,-1.05E-01,1.43E+00,1.43E+00,1.29E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_S23_O1,1,5.17E-01,-1.02E-01,1.56E+00,1.56E+00,1.39E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_S23_O1,1,5.26E-01,-9.57E-02,1.66E+00,1.67E+00,1.29E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_S23_O1,1,5.34E-01,-8.99E-02,1.77E+00,1.77E+00,1.17E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_S23_O1,1,5.42E-01,-1.35E-01,1.85E+00,1.86E+00,1.27E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_S23_O1,1,5.51E-01,-1.13E-01,1.98E+00,1.98E+00,1.38E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_S23_O1,1,5.59E-01,-7.03E-02,2.07E+00,2.08E+00,1.31E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_S23_O1,1,5.67E-01,-8.40E-02,2.20E+00,2.20E+00,1.28E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_S23_O1,1,5.76E-01,-7.62E-02,2.29E+00,2.29E+00,1.29E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_S23_O1,1,5.84E-01,-7.23E-02,2.41E+00,2.41E+00,1.38E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_S23_O1,1,5.92E-01,-8.40E-02,2.52E+00,2.52E+00,1.31E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_S23_O1,1,6.01E-01,-4.30E-02,2.63E+00,2.63E+00,1.41E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_S23_O1,1,6.09E-01,-5.67E-02,2.75E+00,2.75E+00,1.48E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_S23_O1,1,6.17E-01,-7.03E-02,2.88E+00,2.88E+00,1.38E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_S23_O1,1,6.26E-01,-8.21E-02,2.98E+00,2.98E+00,1.14E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_S23_O1,1,6.34E-01,-1.95E-02,3.06E+00,3.06E+00,1.31E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_S23_O1,1,6.42E-01,-5.27E-02,3.20E+00,3.20E+00,1.59E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_S23_O1,1,6.51E-01,-3.13E-02,3.33E+00,3.33E+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_S23_O1,2,1.58E+00,-7.23E-02,8.11E-01,8.14E-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_S23_O1,2,1.59E+00,-6.45E-02,9.01E-01,9.03E-01,1.19E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_S23_O1,2,1.60E+00,-3.91E-03,9.96E-01,9.96E-01,1.51E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_S23_O1,2,1.61E+00,7.23E-02,1.11E+00,1.11E+00,1.38E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_S23_O1,2,1.62E+00,6.06E-02,1.22E+00,1.22E+00,1.31E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_S23_O1,2,1.63E+00,1.02E-01,1.33E+00,1.33E+00,1.19E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_S23_O1,2,1.63E+00,1.29E-01,1.40E+00,1.41E+00,1.09E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_S23_O1,2,1.64E+00,1.72E-01,1.50E+00,1.51E+00,1.65E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_S23_O1,2,1.65E+00,3.01E-01,1.62E+00,1.65E+00,1.29E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_S23_O1,2,1.66E+00,2.75E-01,1.69E+00,1.71E+00,1.21E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_S23_O1,2,1.67E+00,3.32E-01,1.82E+00,1.85E+00,1.42E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_S23_O1,2,1.68E+00,3.58E-01,1.91E+00,1.94E+00,1.00E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_S23_O1,2,1.69E+00,4.04E-01,1.97E+00,2.01E+00,1.24E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_S23_O1,2,1.69E+00,4.43E-01,2.10E+00,2.14E+00,1.28E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_S23_O1,2,1.70E+00,4.71E-01,2.17E+00,2.22E+00,1.28E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_S23_O1,2,1.71E+00,5.10E-01,2.30E+00,2.36E+00,1.33E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_S23_O1,2,1.72E+00,5.55E-01,2.38E+00,2.44E+00,1.04E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_S23_O1,2,1.73E+00,5.63E-01,2.47E+00,2.53E+00,1.01E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_S23_O1,2,1.74E+00,5.90E-01,2.54E+00,2.61E+00,1.33E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_S23_O1,2,1.74E+00,6.47E-01,2.67E+00,2.75E+00,1.19E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_S23_O1,2,1.75E+00,6.58E-01,2.73E+00,2.80E+00,9.48E+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_S23_O1,2,1.76E+00,7.01E-01,2.82E+00,2.91E+00,1.42E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_S23_O1,2,1.77E+00,7.40E-01,2.95E+00,3.04E+00,1.14E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_S23_O1,2,1.78E+00,7.52E-01,3.00E+00,3.10E+00,1.01E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_S23_O1,2,1.79E+00,7.76E-01,3.11E+00,3.21E+00,1.34E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_S23_O1,2,1.79E+00,7.99E-01,3.22E+00,3.32E+00,9.60E+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_S23_O1,2,1.80E+00,7.76E-01,3.27E+00,3.36E+00,1.04E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_S23_O1,2,1.81E+00,8.52E-01,3.39E+00,3.49E+00,1.11E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_S23_O1,2,1.82E+00,8.09E-01,3.45E+00,3.55E+00,1.17E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_S23_O1,2,1.83E+00,8.48E-01,3.58E+00,3.68E+00,1.31E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_S23_O1,2,1.84E+00,8.38E-01,3.67E+00,3.77E+00,9.60E+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_S23_O1,2,1.84E+00,8.13E-01,3.74E+00,3.83E+00,1.06E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_S23_O1,2,1.85E+00,8.19E-01,3.85E+00,3.93E+00,1.04E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_S23_O1,2,1.86E+00,8.65E-01,3.91E+00,4.00E+00,1.00E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_S23_O1,2,1.87E+00,8.91E-01,4.00E+00,4.10E+00,9.54E+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_S23_O1,2,1.88E+00,8.48E-01,4.06E+00,4.15E+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_S23_O1,3,4.263,-0.322,0.178,0.368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_S23_O1,3,4.271,-0.387,0.277,0.476,12.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_S23_O1,3,4.279,-0.328,0.391,0.51,14.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_S23_O1,3,4.288,-0.342,0.514,0.617,14.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_S23_O1,3,4.296,-0.373,0.635,0.736,14.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_S23_O1,3,4.304,-0.352,0.762,0.839,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_S23_O1,3,4.313,-0.365,0.885,0.957,10.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_S23_O1,3,4.321,-0.371,0.938,1.009,11.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_S23_O1,3,4.329,-0.404,1.076,1.15,13.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_S23_O1,3,4.338,-0.414,1.164,1.236,11.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_S23_O1,3,4.346,-0.426,1.27,1.339,11.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_S23_O1,3,4.354,-0.418,1.36,1.423,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_S23_O1,3,4.363,-0.418,1.52,1.576,14.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_S23_O1,3,4.371,-0.428,1.608,1.664,10.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_S23_O1,3,4.379,-0.438,1.696,1.751,14.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_S23_O1,3,4.388,-0.438,1.856,1.907,16.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_S23_O1,3,4.396,-0.414,1.965,2.009,10.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_S23_O1,3,4.404,-0.422,2.036,2.079,11.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_S23_O1,3,4.413,-0.418,2.161,2.201,13.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_S23_O1,3,4.421,-0.43,2.266,2.307,13.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_S23_O1,3,4.429,-0.443,2.389,2.43,13.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_S23_O1,3,4.438,-0.438,2.497,2.535,12.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_S23_O1,3,4.446,-0.432,2.604,2.64,12.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_S23_O1,3,4.454,-0.426,2.712,2.745,11.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_S23_O1,3,4.463,-0.418,2.801,2.833,12.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_S23_O1,3,4.471,-0.414,2.927,2.956,13.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_S23_O1,3,4.479,-0.426,3.032,3.062,10.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_S23_O1,3,4.488,-0.399,3.106,3.132,12.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_S23_O1,3,4.496,-0.377,3.233,3.255,18.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_S23_O1,3,4.505,-0.344,3.415,3.432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_S24_O1,1,1.58E-01,-1.10E+00,5.71E+00,5.81E+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_S24_O1,1,1.67E-01,-1.08E+00,5.84E+00,5.94E+00,1.32E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_S24_O1,1,1.75E-01,-1.10E+00,5.93E+00,6.03E+00,1.10E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_S24_O1,1,1.84E-01,-1.08E+00,6.03E+00,6.12E+00,9.80E+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_S24_O1,1,1.92E-01,-1.05E+00,6.08E+00,6.17E+00,1.18E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_S24_O1,1,2.00E-01,-1.08E+00,6.22E+00,6.32E+00,1.26E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_S24_O1,1,2.09E-01,-1.08E+00,6.29E+00,6.38E+00,1.04E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_S24_O1,1,2.17E-01,-1.08E+00,6.40E+00,6.49E+00,1.50E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_S24_O1,1,2.25E-01,-1.05E+00,6.54E+00,6.62E+00,1.48E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_S24_O1,1,2.34E-01,-1.09E+00,6.64E+00,6.73E+00,1.43E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_S24_O1,1,2.42E-01,-1.09E+00,6.77E+00,6.86E+00,1.26E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_S24_O1,1,2.50E-01,-1.12E+00,6.85E+00,6.94E+00,1.00E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_S24_O1,1,2.59E-01,-1.14E+00,6.93E+00,7.02E+00,1.39E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_S24_O1,1,2.67E-01,-1.16E+00,7.08E+00,7.18E+00,1.72E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_S24_O1,1,2.75E-01,-1.17E+00,7.22E+00,7.31E+00,1.45E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_S24_O1,1,2.84E-01,-1.19E+00,7.32E+00,7.42E+00,1.27E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_S24_O1,1,2.92E-01,-1.22E+00,7.42E+00,7.52E+00,1.31E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_S24_O1,1,3.00E-01,-1.25E+00,7.53E+00,7.63E+00,1.26E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_S24_O1,1,3.09E-01,-1.26E+00,7.63E+00,7.73E+00,1.29E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_S24_O1,1,3.17E-01,-1.29E+00,7.74E+00,7.85E+00,1.22E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_S24_O1,1,3.25E-01,-1.31E+00,7.83E+00,7.94E+00,1.34E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_S24_O1,1,3.34E-01,-1.33E+00,7.96E+00,8.07E+00,1.48E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_S24_O1,1,3.42E-01,-1.39E+00,8.06E+00,8.18E+00,1.21E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_S24_O1,1,3.50E-01,-1.40E+00,8.15E+00,8.27E+00,1.22E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_S24_O1,1,3.59E-01,-1.44E+00,8.26E+00,8.38E+00,1.15E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_S24_O1,1,3.67E-01,-1.43E+00,8.34E+00,8.46E+00,1.10E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_S24_O1,1,3.75E-01,-1.49E+00,8.44E+00,8.57E+00,1.35E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_S24_O1,1,3.84E-01,-1.51E+00,8.55E+00,8.69E+00,1.36E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_S24_O1,1,3.92E-01,-1.55E+00,8.65E+00,8.79E+00,1.19E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_S24_O1,1,4.00E-01,-1.55E+00,8.75E+00,8.88E+00,1.45E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_S24_O1,1,4.09E-01,-1.55E+00,8.90E+00,9.03E+00,1.45E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_S24_O1,1,4.17E-01,-1.58E+00,8.99E+00,9.12E+00,1.13E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_S24_O1,1,4.25E-01,-1.62E+00,9.07E+00,9.22E+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_S24_O1,2,6.06E+00,-5.92E-01,6.26E-01,8.62E-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_S24_O1,2,6.07E+00,-5.88E-01,7.23E-01,9.32E-01,1.07E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_S24_O1,2,6.08E+00,-5.69E-01,8.03E-01,9.84E-01,8.64E+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_S24_O1,2,6.09E+00,-5.57E-01,8.64E-01,1.03E+00,9.66E+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_S24_O1,2,6.10E+00,-5.63E-01,9.64E-01,1.12E+00,1.01E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_S24_O1,2,6.11E+00,-5.70E-01,1.03E+00,1.18E+00,8.31E+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_S24_O1,2,6.11E+00,-5.55E-01,1.10E+00,1.23E+00,1.12E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_S24_O1,2,6.12E+00,-5.34E-01,1.21E+00,1.33E+00,1.26E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_S24_O1,2,6.13E+00,-5.63E-01,1.31E+00,1.43E+00,1.31E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_S24_O1,2,6.14E+00,-5.97E-01,1.42E+00,1.54E+00,1.59E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_S24_O1,2,6.15E+00,-5.94E-01,1.57E+00,1.68E+00,1.65E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_S24_O1,2,6.16E+00,-6.03E-01,1.70E+00,1.80E+00,1.19E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_S24_O1,2,6.16E+00,-6.42E-01,1.77E+00,1.88E+00,1.42E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_S24_O1,2,6.17E+00,-6.23E-01,1.93E+00,2.03E+00,1.81E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_S24_O1,2,6.18E+00,-6.59E-01,2.07E+00,2.17E+00,1.51E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_S24_O1,2,6.19E+00,-6.71E-01,2.18E+00,2.28E+00,1.86E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_S24_O1,2,6.20E+00,-6.96E-01,2.38E+00,2.48E+00,1.87E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_S24_O1,2,6.21E+00,-6.62E-01,2.49E+00,2.58E+00,1.73E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_S24_O1,2,6.21E+00,-6.34E-01,2.66E+00,2.73E+00,2.10E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_S24_O1,2,6.22E+00,-6.94E-01,2.84E+00,2.93E+00,1.72E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_S24_O1,2,6.23E+00,-6.68E-01,2.94E+00,3.02E+00,1.31E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_S24_O1,2,6.24E+00,-6.57E-01,3.06E+00,3.13E+00,1.34E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_S24_O1,2,6.25E+00,-6.82E-01,3.17E+00,3.24E+00,1.75E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_S24_O1,2,6.26E+00,-6.78E-01,3.35E+00,3.42E+00,2.17E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_S24_O1,2,6.26E+00,-6.87E-01,3.53E+00,3.59E+00,1.42E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_S24_O1,2,6.27E+00,-6.98E-01,3.59E+00,3.65E+00,1.48E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_S24_O1,2,6.28E+00,-7.62E-01,3.76E+00,3.84E+00,1.85E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_S24_O1,2,6.29E+00,-7.70E-01,3.89E+00,3.96E+00,1.70E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_S24_O1,2,6.30E+00,-8.09E-01,4.04E+00,4.12E+00,1.65E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_S24_O1,2,6.31E+00,-8.21E-01,4.16E+00,4.24E+00,1.34E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_S24_O1,2,6.31E+00,-8.46E-01,4.26E+00,4.35E+00,1.31E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_S24_O1,2,6.32E+00,-8.84E-01,4.36E+00,4.45E+00,2.12E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_S24_O1,2,6.33E+00,-9.23E-01,4.61E+00,4.70E+00,2.25E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_S24_O1,2,6.34E+00,-9.64E-01,4.73E+00,4.83E+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_S24_O1,3,7.59E-01,-2.42E-01,3.77E-01,4.48E-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_S24_O1,3,7.67E-01,-2.03E-01,4.82E-01,5.23E-01,1.51E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_S24_O1,3,7.76E-01,-1.91E-01,6.24E-01,6.53E-01,1.24E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_S24_O1,3,7.84E-01,-2.20E-01,6.88E-01,7.23E-01,7.96E+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_S24_O1,3,7.92E-01,-2.54E-01,7.41E-01,7.83E-01,9.14E+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_S24_O1,3,8.01E-01,-2.59E-01,8.36E-01,8.75E-01,9.73E+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_S24_O1,3,8.09E-01,-2.60E-01,9.03E-01,9.40E-01,9.99E+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_S24_O1,3,8.17E-01,-2.37E-01,1.00E+00,1.03E+00,9.05E+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_S24_O1,3,8.26E-01,-2.71E-01,1.05E+00,1.09E+00,8.37E+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_S24_O1,3,8.34E-01,-2.53E-01,1.14E+00,1.17E+00,1.21E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
